Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Day's Gain Realized $,2026 Contributions,Cash Purchasing Power
"Rollover IRA -7159",96468.68,8443.57,10.23,2392.72,2.70,-.08,.00,5496.70


View Summary - All Positions
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Total Gain $,Asc,

Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
META,577.22,9.64,1.70,12.0240,675.2695,115.9114,-1178.9467,-14.5200,6940.4933
FIG,18.88,0.23,1.23,100.0000,24.50,23.0000,-562.0000,-22.9388,1888.0000
NKE,45.20,1.01,2.29,27.0600,52.3884,27.3306,-194.5180,-13.7214,1223.1120
ZETA,18.895,0.40,2.14,125.0000,20.20,49.3750,-163.1250,-6.4604,2361.8750
COST,951.45,-14.14,-1.46,3.0160,992.6724,-42.6462,-124.3268,-4.1527,2869.5732
AMZN,244.39,6.89,2.90,26.0000,249.00,179.1400,-119.8600,-1.8514,6354.1400
NVO,43.195,-0.33,-0.75,25.6100,46.2003,-8.3232,-76.9660,-6.5050,1106.2240
TQQQ,82.87,5.33,6.87,50.0000,84.00,266.5000,-56.5000,-1.3452,4143.5000
RDY,13.305,0.15,1.18,85.5110,13.638,13.2542,-28.4761,-2.4418,1137.7239
TECL,236.36,19.39,8.94,10.0000,238.00,193.9000,-16.4000,-.6891,2363.6000
JEDI,30.89,-0.01,-0.03,2.0000,29.45,-.0200,2.8800,4.8896,61.7800
IONQ,56.53,1.84,3.36,1.0000,52.26,1.8400,4.2700,8.1707,56.5300
QCOM,226.11,13.14,6.17,.5940,150.1347,7.8052,45.1293,50.6048,134.3093
EUV,30.16,1.28,4.43,60.0000,29.0833,76.8000,64.6000,3.7020,1809.6000
WMT,117.18,-0.95,-0.80,5.0700,95.3412,-4.8165,110.7226,22.9059,594.1026
CRWV,117.95,2.74,2.38,29.0000,111.4572,79.4600,188.2900,5.8253,3420.5500
AVGO,411.35,18.45,4.70,5.0200,355.8546,92.6190,278.5870,15.5950,2064.9770
IREN,59.96,1.85,3.18,23.0000,47.4387,42.5500,287.9900,26.3947,1379.0800
NVDA,210.69,6.04,2.95,10.0000,175.90,60.4000,347.9000,19.7783,2106.9000
VGT,120.10,3.17,2.71,26.0320,106.0718,82.5214,365.1832,13.2252,3126.4432
JBL,371.68,-3.30,-0.88,3.0010,212.999,-9.9033,476.2017,74.4985,1115.4117
TSM,461.81,29.66,6.86,7.0200,351.8134,208.2132,772.1762,31.2656,3241.9062
AMAT,617.11,24.19,4.08,2.0040,217.485,48.4768,800.8484,183.7483,1236.6884
GOOG,367.46,5.36,1.48,30.0580,319.0102,161.1109,1456.3027,15.1875,11045.1127
ASML,1929.68,61.85,3.31,4.0050,1486.7715,247.7092,1773.8484,29.7899,7728.3684
NBIS,286.69,5.78,2.06,36.0000,232.5347,208.0800,1949.5900,23.2891,10320.8400
QQQ,740.62,18.11,2.51,15.0430,604.9977,272.4287,2040.1667,22.4170,11141.1467
CASH,,,,,,,,,5496.70,
TOTAL,,,,,82528.42,2392.72,8443.57,10.23,96468.68,


 Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,2026 Contributions,Cash Purchasing Power
"Roth IRA -4514",30942.12,3735.48,13.74,491.56,1.62,.00,16.57


View Summary - All Positions
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Total Gain $,Asc,

Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
META,577.22,9.64,1.70,2.0040,738.4681,19.3186,-323.1411,-21.8355,1156.7489
QCOM,226.11,13.14,6.17,15.0000,233.3333,197.1000,-108.3500,-3.0957,3391.6500
BRK.B,489.31,-1.97,-0.40,19.0000,493.6842,-37.4300,-83.1100,-.8860,9296.8900
ZETA,18.895,0.40,2.14,50.0000,19.75,19.7500,-42.7500,-4.3291,944.7500
NFLX,77.38,0.42,0.55,4.0000,87.175,1.6800,-39.1800,-11.2360,309.5200
RDY,13.305,0.15,1.18,31.0900,14.2351,4.8190,-28.9175,-6.5340,413.6524
SATS,109.17,-2.53,-2.26,8.0000,111.0225,-13.5400,-14.8200,-1.6686,873.3600
HMC,26.28,0.09,0.34,5.1980,27.3028,.4678,-5.3166,-3.7462,136.6034
NOW,95.15,-0.33,-0.35,10.0000,92.97,-3.3000,21.8000,2.3448,951.5000
AVGO,411.35,18.45,4.70,2.0040,331.9261,36.9738,159.1654,23.9282,824.3454
JBL,371.68,-3.30,-0.88,4.0020,238.9855,-13.2066,531.0434,55.5241,1487.4634
GOOG,367.46,5.36,1.48,6.0090,277.319,32.2082,541.6571,32.5044,2208.0671
MRK,113.89,-1.55,-1.34,20.2940,78.8805,-31.4557,710.4837,44.3830,2311.2837
CRWV,117.95,2.74,2.38,29.0000,88.3379,79.4600,858.7500,33.5214,3420.5500
SOXX,639.45,39.72,6.62,5.0030,328.0032,198.7192,1558.1683,94.9524,3199.1683
CASH,,,,,,,,,16.57,
TOTAL,,,,,27190.07,491.56,3735.48,13.74,30942.12,

Account Summary
Account,Total Assets,Total Unrealized Gain $,Total Unrealized Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %
"All brokerage accounts",414295.24,110210.21,37.79,6597.47,1.67


View Summary - All Positions
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Symbol,Asc,

Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
AAPL,298.01,2.06,0.70,19.1400,215.0956,39.4300,1586.9800,38.5477,5703.9114
AB,35.95,-0.21,-0.58,15.3210,38.425,-3.2200,-37.9200,-6.4412,550.7899
ABT,88.41,-0.09,-0.10,15.0960,113.0087,-1.3600,-371.3400,-21.7670,1334.6374
AER,145.06,0.94,0.65,6.0000,141.3167,5.6400,22.4600,2.6489,870.3600
AMAT,617.11,24.19,4.08,20.1550,234.5865,487.5600,7709.7500,163.0627,12437.8520
AMZN,244.39,6.89,2.90,34.0000,198.4706,234.2600,1561.2600,23.1366,8309.2600
ASML,1929.68,61.85,3.31,1.0150,719.8621,62.7800,1227.9700,168.0631,1958.6252
BAC,56.20,-0.33,-0.58,90.2170,46.1103,-29.7700,910.2700,21.8819,5070.1954
BF.B,26.64,1.13,4.43,21.3240,27.0432,24.1000,-8.6000,-1.4913,568.0714
BRK.B,489.46,-1.82,-0.37,39.0000,400.4892,-70.9800,3469.8600,22.2155,19088.9400
COST,951.45,-14.14,-1.46,2.0950,541.2697,-29.6200,859.3300,75.7813,1993.2877
CRWV,117.95,2.74,2.38,30.0000,90.7267,82.2000,816.7000,30.0059,3538.5000
CTSH,43.70,-5.12,-10.49,40.2530,65.6714,-206.1000,-884.4100,-33.4564,1759.0561
FIG,18.88,0.23,1.23,150.0000,25.00,34.5000,-918.0000,-24.4800,2832.0000
GLD,387.12,-1.48,-0.38,32.0000,313.4919,-47.3600,2356.1000,23.4865,12387.8400
GOOG,367.46,5.36,1.48,97.4590,217.7009,522.3700,14595.3600,68.7912,35812.2841
HDB,25.06,0.30,1.21,12.0000,24.275,3.6000,9.4200,3.2338,300.7200
HMC,26.26,0.07,0.27,76.2000,28.1979,5.3300,-147.6700,-6.8726,2001.0120
INFY,10.57,-1.13,-9.66,21.8750,15.4866,-24.7200,-107.5500,-31.7472,231.2188
JBL,371.88,-3.10,-0.83,5.0030,210.038,-15.5100,809.7000,77.0541,1860.5156
LULU,111.77,0.01,0.01,2.0000,287.00,.0200,-350.4600,-61.0557,223.5400
META,577.22,9.64,1.70,31.1530,468.8036,300.3100,3377.4900,23.1261,17982.1347
MRK,113.87,-1.57,-1.36,20.0000,78.9475,-31.4000,698.4500,44.2351,2277.4000
MRVL,310.58,21.04,7.27,5.0030,87.0398,105.2600,1118.3700,256.8250,1553.8317
MSFT,379.40,0.49,0.13,99.1450,413.1623,48.5800,-3347.3600,-8.1717,37615.6130
NBIS,286.69,5.78,2.06,29.0000,116.1628,167.6200,4945.2900,146.8003,8314.0100
NFLX,77.38,0.42,0.55,54.0000,89.4333,19.2800,-650.8800,-13.4775,4178.5200
NKE,45.20,1.01,2.29,15.0000,44.3053,15.1500,13.4200,2.0193,678.0000
NOW,95.04,-0.44,-0.46,21.0000,90.3124,-9.2400,99.2800,5.2347,1995.8400
NVDA,210.69,6.04,2.95,68.0230,179.6858,410.8500,2108.9900,17.2546,14331.7659
OKLO,61.17,2.35,4.00,4.0000,128.00,9.4000,-267.3200,-52.2109,244.6800
PATH,10.27,0.04,0.39,70.0000,15.6214,2.8000,-374.6000,-34.2570,718.9000
PLTR,128.47,-2.16,-1.65,29.0000,150.8914,-62.6400,-650.2200,-14.8593,3725.6300
QBTS,24.69,1.77,7.72,1.0000,33.91,1.7700,-9.2200,-27.1896,24.6900
QQQ,740.62,18.11,2.51,24.1680,522.3961,437.6800,5274.0300,41.7736,17899.3042
QUBT,10.76,0.99,10.13,2.0000,15.415,1.9800,-9.3100,-30.1979,21.5200
RDY,13.29,0.14,1.06,450.9400,14.6065,63.1200,-593.6700,-9.0132,5992.9926
RGTI,21.36,1.11,5.51,4.0000,38.80,4.4600,-69.7600,-44.9485,85.4400
SERV,6.99,0.30,4.48,10.0000,16.597,3.0000,-96.0700,-57.8840,69.9000
SMFG,25.23,0.69,2.81,23.3120,13.8714,16.0900,264.7900,81.8845,588.1618
SMR,11.74,1.40,13.54,5.0000,42.50,7.0000,-153.8000,-72.3765,58.7000
SOXX,639.45,39.72,6.62,1.0130,245.7157,40.2400,398.8500,160.2386,647.7628
TECL,236.49,19.52,9.00,23.0000,240.2452,448.9600,-86.3700,-1.5631,5439.2700
TGT,130.74,2.93,2.29,10.7480,146.1156,31.4900,-165.2600,-10.5231,1405.1935
TM,173.94,1.17,0.68,8.2510,173.1996,9.6500,6.1100,.4276,1435.1789
TMV,36.91,-0.48,-1.28,5.0000,40.00,-2.4000,-15.4500,-7.7250,184.5500
TQQQ,82.87,5.33,6.87,50.0000,84.15,266.5000,-64.0000,-1.5211,4143.5000
TSM,462.12,29.97,6.94,9.0560,244.4424,271.4100,1971.2900,89.0508,4184.9587
UNH,400.96,1.43,0.36,5.0000,281.606,7.1500,596.7700,42.3833,2004.8000
VGT,120.04,3.11,2.66,786.9360,59.2164,2447.3700,47864.2900,102.7141,94463.7974
