Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,2026 Contributions,Cash Purchasing Power
"Roth IRA -4514",30104.84,3122.15,11.61,445.10,1.51,.00,90.62


View Summary - All Positions
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Total Gain $,Asc,

Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
META,585.39,-7.61,-1.28,2.0040,738.4681,-15.2504,-306.7684,-20.7291,1173.1216
QCOM,217.77,1.83,0.85,15.0000,233.3333,27.4500,-233.4500,-6.6700,3266.5500
BRK.B,486.69,-1.44,-0.30,19.0000,493.6842,-27.3600,-132.8900,-1.4167,9247.1100
RDY,13.225,-0.01,-0.11,31.0900,14.2351,-.4663,-31.4047,-7.0960,411.1653
NFLX,82.64,0.46,0.56,4.0000,87.175,1.8400,-18.1400,-5.2022,330.5600
HMC,26.98,0.28,1.05,5.0930,27.3179,1.4260,-1.7209,-1.2369,137.4091
INTC,110.27,11.10,11.19,20.0000,104.00,222.0000,125.4000,6.0288,2205.4000
AVGO,396.60,10.87,2.82,2.0040,331.9261,21.7835,129.6064,19.4844,794.7864
NOW,114.27,1.82,1.62,5.0000,86.25,9.1000,140.1000,32.4870,571.3500
CRWV,102.37,1.98,1.97,29.0000,88.3379,57.4200,406.9300,15.8845,2968.7300
JBL,363.81,10.57,2.99,4.0020,238.9855,42.3011,499.5476,52.2310,1455.9676
GOOG,361.17,-4.37,-1.20,6.0060,277.2777,-26.2462,503.8570,30.2557,2169.1870
MRK,119.44,-1.35,-1.12,20.2940,78.8805,-27.3969,823.1154,51.4190,2423.9154
SOXX,571.45,31.68,5.87,5.0030,328.0032,158.4950,1217.9643,74.2209,2858.9644
CASH,,,,,,,,,90.62,
TOTAL,,,,,26892.07,445.10,3122.15,11.61,30104.84,


 
