Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,2026 Contributions,Cash Purchasing Power
"Rollover IRA -7159",91895.34,4398.77,5.88,848.17,1.08,.00,12691.75


View Summary - All Positions
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Total Gain $,Asc,

Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
META,585.39,-7.61,-1.28,12.0240,675.2695,-91.5026,-1080.7106,-13.3102,7038.7294
NBIS,218.00,-9.81,-4.31,36.0000,232.5347,-353.1600,-523.2500,-6.2506,7848.0000
FIG,21.11,-0.64,-2.94,100.0000,24.50,-64.0000,-339.0000,-13.8367,2111.0000
CRWV,102.37,1.98,1.97,29.0000,111.4572,57.4200,-263.5300,-8.1531,2968.7300
NKE,43.23,0.25,0.58,27.0600,52.3884,6.7650,-247.8262,-17.4817,1169.8038
NVO,41.01,-1.95,-4.54,25.6100,46.2003,-49.9395,-132.9239,-11.2344,1050.2661
AMZN,245.22,-0.81,-0.33,26.0000,249.00,-21.0600,-98.2800,-1.5181,6375.7200
COST,974.75,2.88,0.30,3.0160,992.6724,8.6861,-54.0540,-1.8055,2939.8460
RDY,13.225,-0.01,-0.11,85.5110,13.638,-1.2827,-35.3170,-3.0284,1130.8830
JEDI,34.19,-0.02,-0.06,2.0000,29.45,-.0400,9.4800,16.0951,68.3800
IONQ,62.81,6.03,10.62,1.0000,52.26,6.0300,10.5500,20.1875,62.8100
EUV,27.625,1.32,5.04,10.0000,24.50,13.2500,31.2500,12.7551,276.2500
QCOM,217.77,1.83,0.85,.5940,150.1347,1.0870,40.1754,45.0498,129.3554
WMT,119.83,0.95,0.80,5.0700,95.3412,4.8165,124.1581,25.6854,607.5381
AVGO,396.60,10.87,2.82,5.0200,355.8546,54.5674,204.5420,11.4500,1990.9320
IREN,59.19,4.84,8.91,23.0000,47.4387,111.3200,270.2800,24.7716,1361.3700
INTC,110.27,11.10,11.19,40.0000,102.50,444.0000,310.8000,7.5805,4410.8000
NVDA,208.64,3.54,1.73,10.0000,175.90,35.4000,327.4000,18.6128,2086.4000
VGT,117.22,1.94,1.68,16.0320,96.7602,31.1021,328.0110,21.1448,1879.2710
JBL,363.81,10.57,2.99,3.0010,212.999,31.7206,452.5838,70.8036,1091.7938
TSM,426.65,11.48,2.77,7.0200,351.8134,80.5896,525.3530,21.2717,2995.0830
AMAT,492.17,39.16,8.64,2.0000,216.865,78.3200,550.6100,126.9476,984.3400
ASML,1749.04,107.30,6.54,4.0050,1486.7715,429.7365,1050.3852,17.6401,7004.9052
GOOG,361.17,-4.37,-1.20,30.0400,318.9854,-131.2748,1267.2268,13.2246,10849.5468
QQQ,716.07,11.01,1.56,15.0430,604.9977,165.6234,1670.8610,18.3591,10771.8410
CASH,,,,,,,,,12691.75,
TOTAL,,,,,74804.82,848.17,4398.77,5.88,91895.34,

 
